* RCK derivative values
* time_minute  dRCK_dt
43.316667  -0.00146856
43.333333  -0.00136819
43.350000  -0.00126797
43.366667  -0.00116791
43.383333  -0.00106800
43.400000  -0.00096825
43.416667  -0.00086866
43.433333  -0.00076922
43.450000  -0.00066994
43.466667  -0.00057081
43.483333  -0.00047184
43.500000  -0.00037302
43.516667  -0.00027436
43.533333  -0.00017586
43.550000  -0.00007751
43.566667  0.00002069
43.583333  0.00011872
43.600000  0.00021661
43.616667  0.00031433
43.633333  0.00041190
43.650000  0.00050932
43.666667  0.00060658
43.683333  0.00070368
43.700000  0.00080063
43.716667  0.00089742
43.733333  0.00099406
43.750000  0.00109054
43.766667  0.00118686
43.783333  0.00128303
43.800000  0.00137905
43.816667  0.00147491
43.833333  0.00157061
43.850000  0.00166616
43.866667  0.00176155
43.883333  0.00185678
43.900000  0.00195186
43.916667  0.00204679
43.933333  0.00214156
43.950000  0.00223617
43.966667  0.00233063
43.983333  0.00242493
44.000000  0.00251908
44.016667  0.00261307
44.033333  0.00270690
44.050000  0.00280058
44.066667  0.00289410
44.083333  0.00298747
44.100000  0.00308068
44.116667  0.00317374
44.133333  0.00326664
44.150000  0.00335939
44.166667  0.00345198
44.183333  0.00354441
44.200000  0.00363669
44.216667  0.00372881
44.233333  0.00382078
44.250000  0.00391259
44.266667  0.00400424
44.283333  0.00409574
44.300000  0.00418709
44.316667  0.00427828
44.333333  0.00436931
44.350000  0.00446019
44.366667  0.00455091
44.383333  0.00464147
44.400000  0.00473188
44.416667  0.00482214
44.433333  0.00491224
44.450000  0.00500218
44.466667  0.00509197
44.483333  0.00518160
44.500000  0.00527108
44.516667  0.00536040
44.533333  0.00544956
44.550000  0.00553857
44.566667  0.00562742
44.583333  0.00571612
44.600000  0.00580467
44.616667  0.00589305
44.633333  0.00598128
44.650000  0.00606936
44.666667  0.00615728
44.683333  0.00624504
44.700000  0.00633265
44.716667  0.00642010
44.733333  0.00650740
44.750000  0.00659454
44.766667  0.00668153
44.783333  0.00676836
44.800000  0.00685503
44.816667  0.00694155
44.833333  0.00702791
44.850000  0.00711412
44.866667  0.00720017
44.883333  0.00728607
44.900000  0.00737181
44.916667  0.00745739
44.933333  0.00754282
44.950000  0.00762810
44.966667  0.00771321
44.983333  0.00779817
45.000000  0.00788298
45.016667  0.00796763
45.033333  0.00805213
45.050000  0.00813647
45.066667  0.00822065
45.083333  0.00830468
45.100000  0.00838855
45.116667  0.00847227
45.133333  0.00855583
45.150000  0.00863923
45.166667  0.00872248
45.183333  0.00880558
45.200000  0.00888852
45.216667  0.00897130
45.233333  0.00905393
45.250000  0.00913640
45.266667  0.00921871
45.283333  0.00930087
45.300000  0.00938288
45.316667  0.00946473
45.333333  0.00954642
45.350000  0.00962796
45.366667  0.00970934
45.383333  0.00979057
45.400000  0.00987164
45.416667  0.00995255
45.433333  0.01003331
45.450000  0.01011391
45.466667  0.01019436
45.483333  0.01027465
45.500000  0.01035479
45.516667  0.01043477
45.533333  0.01051460
45.550000  0.01059427
45.566667  0.01067378
45.583333  0.01075314
45.600000  0.01083234
45.616667  0.01091139
45.633333  0.01099028
45.650000  0.01106901
45.666667  0.01114759
45.683333  0.01122602
45.700000  0.01130429
45.716667  0.01138240
45.733333  0.01146036
45.750000  0.01153816
45.766667  0.01161580
45.783333  0.01169329
45.800000  0.01177063
45.816667  0.01184781
45.833333  0.01192483
45.850000  0.01200170
45.866667  0.01207841
45.883333  0.01215497
45.900000  0.01223137
45.916667  0.01230761
45.933333  0.01238370
45.950000  0.01245964
45.966667  0.01253541
45.983333  0.01261104
46.000000  0.01268650
46.016667  0.01276181
46.033333  0.01283697
46.050000  0.01291197
46.066667  0.01298681
46.083333  0.01306150
46.100000  0.01313603
46.116667  0.01321041
46.133333  0.01328463
46.150000  0.01335870
46.166667  0.01343261
46.183333  0.01350636
46.200000  0.01357996
46.216667  0.01365340
46.233333  0.01372669
46.250000  0.01379982
46.266667  0.01387280
46.283333  0.01394562
46.300000  0.01401829
46.316667  0.01409079
46.333333  0.01416315
46.350000  0.01423535
46.366667  0.01430739
46.383333  0.01437927
46.400000  0.01445100
46.416667  0.01452258
46.433333  0.01459400
46.450000  0.01466526
46.466667  0.01473637
46.483333  0.01480732
46.500000  0.01487812
46.516667  0.01494876
46.533333  0.01501925
46.550000  0.01508958
46.566667  0.01515975
46.583333  0.01522977
46.600000  0.01529963
46.616667  0.01536934
46.633333  0.01543889
46.650000  0.01550829
46.666667  0.01557753
46.683333  0.01564661
46.700000  0.01571554
46.716667  0.01578431
46.733333  0.01585293
46.750000  0.01592139
46.766667  0.01598970
46.783333  0.01605785
46.800000  0.01612584
46.816667  0.01619368
46.833333  0.01626137
46.850000  0.01632890
46.866667  0.01639627
